tree,wave,weighted,mean_branch,nBranches
17,Wave 1,168.19672222162694,340.35877681780994,130
17,Wave 2,273.1783606971944,620.5093255498296,237
17,Wave 3,354.49384738359316,687.759920416917,225
18,whole epidemic,259.7236705726626,584.6656819338934,566
18,Wave 1,153.07153331526453,384.178549757337,130
18,Wave 2,272.33859943874626,612.0501657538539,241
18,Wave 3,327.4766522957657,618.4139984663333,223
19,whole epidemic,273.83891896251555,636.1549354413933,566
19,Wave 1,160.45007461526595,374.01454719798494,134
19,Wave 2,290.17808073654254,561.7743607034752,245
19,Wave 3,336.1956652327889,805.540815522167,220
20,whole epidemic,273.3116917223454,738.6218378717826,566
20,Wave 1,169.09453141175644,623.6215098481194,130
20,Wave 2,283.5583588044728,668.8696416054818,239
20,Wave 3,335.2727767572894,810.5629165629404,224
21,whole epidemic,272.44957843404194,595.4596485466398,566
21,Wave 1,171.28837404143732,427.96260376937954,130
21,Wave 2,280.37727233512646,580.8023038536888,243
21,Wave 3,337.8347695909736,648.3028565751555,222
22,whole epidemic,265.1610430103919,719.5376536747076,566
22,Wave 1,180.99613205364656,966.6295670071529,130
22,Wave 2,264.8422687728718,603.654547277939,245
22,Wave 3,322.90006426430557,622.0676513628126,221
23,whole epidemic,251.22889044679306,627.3275321031348,566
23,Wave 1,166.88307375909304,333.4001318775771,132
23,Wave 2,251.50528112072232,689.3098286728331,242
23,Wave 3,313.333625257011,677.3107922699293,222
24,whole epidemic,248.61411023797916,558.9310507753221,566
24,Wave 1,167.101250464222,325.1750324259077,132
24,Wave 2,246.73801331115266,480.2251411722664,250
24,Wave 3,310.28202385645216,725.30020143846,218
25,whole epidemic,256.09733779582155,575.7267998347543,566
25,Wave 1,175.7268540895701,477.67068068810323,132
25,Wave 2,266.84455039270676,562.634102719554,246
25,Wave 3,297.46656981582714,612.711354430144,220
26,whole epidemic,260.01554840473216,547.1295633304331,566
26,Wave 1,160.55962153571295,327.0239924322026,132
26,Wave 2,272.4125133557496,531.3478770047653,246
26,Wave 3,314.7690419264229,652.6972152499445,220
27,whole epidemic,248.34659866579764,539.5911413550036,566
27,Wave 1,158.5799911250479,504.46562087949536,130
27,Wave 2,256.20712722717525,482.0176558061362,247
27,Wave 3,304.271621501609,577.7544848846239,220
28,whole epidemic,250.05076844427515,534.2276472070673,566
28,Wave 1,143.4973472171952,442.19026574204497,130
28,Wave 2,267.3308848211464,580.4131713479997,245
28,Wave 3,310.2434901862436,493.7936225611452,221
29,whole epidemic,257.21741575343145,485.8185231731437,566
29,Wave 1,150.91331084373022,308.7352695982033,128
29,Wave 2,275.30161212456096,490.2279935581902,246
29,Wave 3,313.68136698979873,543.2836069500546,221
