state,G1,G1_stem,G1_mono,G2,G2_stem,G2_mono,CIV,CIV_stem,CIV_mono
STATE_76000000,2024.4832292997944,2023.8587642997945,True,2024.3596476997946,2023.7688916997945,True,2025.0162588997946,2018.7629288997946,True
STATE_77000000,2024.6948393297946,2023.9212733297945,True,2024.4343531297945,2023.8838441297946,True,2025.1223077297946,2018.6537777297947,True
STATE_78000000,2024.5944079997944,2023.8882969997944,True,2024.6297199997944,2023.6892939997945,True,2024.8610799297944,2018.6344399297946,True
STATE_79000000,2024.4907296097945,2023.8230856097946,True,2024.5074996097944,2023.6926556097944,True,2025.0912506897946,2018.6306306897945,True
STATE_80000000,2024.5772083997947,2023.9407753997946,True,2024.7845523997946,2023.8255423997946,True,2024.9876265997946,2018.6096765997945,True
STATE_81000000,2024.5712999997945,2024.0533669997944,True,2024.5940127997944,2024.0186077997944,True,2025.0460372997945,2018.6396772997944,True
STATE_82000000,2024.6855551097947,2023.8434421097945,True,2024.5729461097947,2023.7366461097947,True,2024.9399201297947,2018.6031401297946,True
STATE_83000000,2024.5609101397945,2023.8746591397944,True,2024.4920921397945,2023.7719621397946,True,2025.0678972997946,2018.5958072997946,True
STATE_84000000,2024.5828926997947,2023.9524986997947,True,2024.4804746997945,2023.7213616997947,True,2025.0742618397946,2018.9543118397946,True
STATE_85000000,2024.2381055497945,2023.7354485497945,True,2024.2760036497946,2023.6637236497945,True,2024.7604891497945,2018.6112091497946,True
STATE_86000000,2024.4160073897945,2023.7277573897945,True,2024.7382548897945,2023.7004248897945,True,2024.9365896797945,2018.6877596797945,True
STATE_87000000,2024.6960810980074,2023.8952990980074,True,2024.3811950980073,2023.7657060980075,True,2024.8371724490073,2018.6603524490074,True
STATE_88000000,2024.3346347297945,2023.8065017297945,True,2024.6532987297944,2023.5983687297944,True,2025.0638265197945,2019.1027965197945,True
STATE_89000000,2024.5376606997945,2023.7947636997944,True,2024.7915006997946,2023.5863506997946,True,2024.9427272997946,2018.7652772997944,True
STATE_90000000,2024.7434010997945,2023.6861610997946,True,2024.7150267997945,2023.6637067997945,True,2024.9566263497945,2018.7836063497946,True
STATE_91000000,2024.5684574197946,2023.7305454197947,True,2024.6526154197945,2023.5859254197946,True,2024.9331002897945,2018.8974502897945,True
STATE_92000000,2024.4401723490075,2023.8141193490073,True,2024.6260413490074,2024.1137663490074,True,2024.8848010490074,2018.6588110490075,True
STATE_93000000,2024.5950574097944,2023.8657444097944,True,2024.6550368597946,2023.7204138597945,True,2025.0949635457944,2018.6617335457945,True
STATE_94000000,2024.6197495997944,2023.7294745997945,True,2024.8569826997946,2024.0608016997944,True,2025.0471746907945,2018.6946346907944,True
STATE_95000000,2024.6327954097947,2023.7337934097945,True,2024.6203854097946,2024.3516374097946,True,2024.8829086697945,2018.6285786697945,True
STATE_96000000,2024.5595585997946,2023.7054315997946,True,2024.6636735997945,2023.9276295997945,True,2024.8718657997945,2018.7282957997945,True
STATE_97000000,2024.6284196897946,2023.7969176897946,True,2024.7923436897945,2023.8113336897945,True,2024.7615112897945,2018.6805712897944,True
STATE_98000000,2024.5226837597945,2023.7966107597945,True,2024.7871057597945,2023.7966107597945,True,2024.7633760897945,2018.8446360897944,True
STATE_99000000,2024.5569121997946,2023.7438111997947,True,2024.6419717997946,2023.7306077997946,True,2025.0703182997945,2018.6493082997945,True
STATE_100000000,2024.6277753997945,2023.7565583997944,True,2024.7236089997944,2023.7041189997944,True,2024.6819184797944,2018.8452684797944,True
STATE_101000000,2024.6774528667945,2023.8729968667947,True,2024.5419828667946,2023.8729968667947,True,2025.1538091667946,2018.7613191667947,True
STATE_102000000,2024.3145864297946,2023.7059944297946,True,2024.7545654297946,2024.0096904297945,True,2024.7916024297945,2018.7052424297945,True
STATE_103000000,2024.6742788597946,2023.6582188597947,True,2024.7097088597945,2023.6582188597947,True,2024.7723325297948,2018.9201225297948,True
STATE_104000000,2024.4708801997945,2023.5729921997945,True,2024.7522596997944,2023.7953506997944,True,2024.9612444697946,2018.6710044697945,True
STATE_105000000,2024.4361102997946,2023.7873722997945,True,2024.5576320997945,2023.8928060997944,True,2024.9533123397944,2018.5846023397944,True
STATE_106000000,2024.5059517397947,2023.8315387397947,True,2024.6418587397945,2023.9719747397946,True,2024.8926657597947,2018.7226957597945,True
STATE_107000000,2024.4641218687946,2023.8532508687947,True,2024.7163738687946,2024.1025758687947,True,2024.7324461687947,2019.0173561687945,True
STATE_108000000,2024.7120883397945,2024.0628633397946,True,2024.6442436397945,2024.0779046397945,True,2025.1471893397945,2018.7551193397944,True
STATE_109000000,2024.6093633027945,2023.9494973027945,True,2024.7182327027945,2023.9015297027945,True,2024.6670649027944,2018.7753749027945,True
STATE_110000000,2024.4739471207945,2023.8345011207946,True,2024.6542963207946,2023.8011023207946,True,2025.0092799097945,2018.6287099097945,True
STATE_111000000,2024.5992968997946,2024.1142238997945,True,2024.8412958997947,2024.1142238997945,True,2025.1678243997947,2018.8786143997945,True
STATE_112000000,2024.4580340497946,2023.7472430497946,True,2024.6984950497945,2023.7472430497946,True,2025.0783312297947,2018.6391812297945,True
STATE_113000000,2024.6423704997944,2023.9260854997945,True,2024.6091664997946,2023.9260854997945,True,2024.9911766297946,2018.9041066297946,True
STATE_114000000,2024.4761393997946,2023.5949173997944,True,2024.6129473997946,2023.6459773997944,True,2024.7023362297946,2018.7445462297947,True
STATE_115000000,2024.5078816797945,2023.7777866797946,True,2024.7846266797947,2023.9407426797945,True,2024.9747050597946,2018.6968950597945,True
STATE_116000000,2024.5707823697946,2023.8887593697946,True,2024.6124168697945,2023.8389968697945,True,2024.8450591697945,2018.9512591697946,True
STATE_117000000,2024.5364124787945,2023.9260994787944,True,2024.4870033787945,2023.9607203787946,True,2024.8996091787944,2018.9374091787945,True
STATE_118000000,2024.6053200490076,2024.0092230490075,True,2024.4966390490076,2024.0092230490075,True,2024.7201009490075,2018.8658509490076,True
STATE_119000000,2024.5912993997947,2023.8133403997947,True,2024.8082449997946,2024.4296539997947,True,2024.8875616997946,2018.5283616997947,True
STATE_120000000,2024.6647261997946,2023.8259321997946,True,2024.7393675997946,2023.9254105997945,True,2025.0085216997945,2018.6584316997946,True
STATE_121000000,2024.6777220597946,2023.8963120597946,True,2024.5054900597945,2023.7557700597945,True,2024.8557223397945,2018.6658023397945,True
STATE_122000000,2024.4865059197946,2023.8807919197945,True,2024.7026719197945,2023.8216509197946,True,2024.7212763397945,2018.7435563397946,True
STATE_123000000,2024.7067164997945,2023.8675534997944,True,2024.7092014997945,2024.1833044997945,True,2024.9462723197944,2018.7557623197945,True
STATE_124000000,2024.4550886497946,2023.9489826497947,True,2024.6993796497945,2023.8624546497947,True,2025.1294921197946,2018.8759921197945,True
STATE_125000000,2024.7276308197945,2023.7596438197945,True,2024.7630399197944,2024.0518319197945,True,2024.9490176397944,2018.6832076397945,True
STATE_126000000,2024.2978949997944,2023.5626399997946,True,2024.5384279997945,2024.1866259997944,True,2025.0037988997944,2018.5561088997945,True
STATE_127000000,2024.5970111897946,2023.8761911897946,True,2024.5788425897945,2023.8038815897944,True,2025.1175469097946,2018.6831869097944,True
STATE_128000000,2024.5458513297945,2023.8687913297945,True,2024.7003523297944,2024.1873883297944,True,2023.9423527577944,2018.6521927577944,True
STATE_129000000,2024.5963385197947,2023.9632625197946,True,2024.5760339197946,2023.8910939197947,True,2024.9170021497946,2018.9783421497946,True
STATE_130000000,2024.4855547797945,2023.9803637797945,True,2024.7644114797945,2024.1352044797945,True,2025.0717434197945,2018.9407534197946,True
STATE_131000000,2024.5675392097944,2023.8801432097946,True,2024.6767091097945,2023.8387751097946,True,2025.1068673797945,2018.6823573797944,True
STATE_132000000,2024.5872500997946,2023.9733490997946,True,2024.4043771997947,2023.8336751997947,True,2024.8053450997945,2018.6743550997946,True
STATE_133000000,2024.6483295997946,2023.9002215997946,True,2024.7298891997946,2023.7998821997944,True,2024.9617777997946,2018.7068077997944,True
STATE_134000000,2024.5421468997945,2023.7887378997946,True,2024.7391398997945,2024.0088678997945,True,2025.0253400297945,2018.6409700297945,True
STATE_135000000,2024.3240450797946,2023.6917730797945,True,2024.7113706797945,2023.6261106797945,True,2024.9592096697945,2018.7854696697946,True
STATE_136000000,2024.6640013997946,2023.8543283997947,True,2024.6034338997947,2023.7152948997946,True,2024.7889824597946,2018.7018524597947,True
STATE_137000000,2024.6008345397945,2023.9492915397946,True,2024.6148432397947,2023.8713212397947,True,2024.8648503397947,2018.8853303397946,True
STATE_138000000,2024.6129791897945,2023.9117941897946,True,2024.6841331897945,2023.7323461897945,True,2024.9306111897945,2018.6470111897945,True
STATE_139000000,2024.6564552597947,2023.9541702597946,True,2024.5355083597947,2023.8519093597947,True,2025.0793419587947,2018.6498919587946,True
STATE_140000000,2024.3741301097946,2023.8808831097945,True,2024.7358781097944,2023.7794391097946,True,2024.7920376197944,2018.6175576197945,True
STATE_141000000,2024.6007251997946,2023.9411141997946,True,2024.7757985997946,2023.7461185997945,True,2024.8418050997946,2018.6467350997946,True
STATE_142000000,2024.5693429490075,2023.8921279490073,True,2024.7577940490073,2023.9513500490075,True,2025.1949075290074,2018.6254375290075,True
STATE_143000000,2024.6279184997945,2023.9003194997947,True,2024.6728228997947,2023.8537428997947,True,2024.9137760597946,2019.1781660597946,True
STATE_144000000,2024.5712762797946,2024.0111092797945,True,2024.7482372797947,2024.0942562797945,True,2024.8317120797947,2018.5360620797946,True
STATE_145000000,2024.5542439297944,2023.9035369297944,True,2024.7087231297944,2023.8164851297945,True,2024.9131536697944,2018.6474136697946,True
STATE_146000000,2024.4481549997947,2023.9403049997945,True,2024.6779400997946,2023.8736060997946,True,2024.9581022897946,2018.7239122897947,True
STATE_147000000,2024.6210599497945,2024.0493389497947,True,2024.7234384497945,2023.9188324497945,True,2024.8819610297946,2018.6873510297946,True
STATE_148000000,2024.5259280997946,2023.8727450997947,True,2024.7565015997945,2023.7619275997945,True,2025.0126140997945,2018.7937840997945,True
STATE_149000000,2024.5452709397946,2024.0471109397945,True,2024.8256454397945,2023.8446994397946,True,2024.6482979897946,2018.6497679897946,True
STATE_150000000,2024.6397426197943,2023.8585636197945,True,2024.5977899197944,2023.8230519197944,True,2024.9940044197945,2018.5636444197944,True
STATE_151000000,2024.7058446997946,2023.8574006997947,True,2024.8137311997946,2024.1581421997946,True,2025.1943110157945,2018.9921410157947,True
STATE_152000000,2024.6628342997947,2023.9730822997947,True,2024.4933512997945,2024.1018912997945,True,2024.9655274597947,2018.8058074597946,True
STATE_153000000,2024.5907849597945,2023.6056839597945,True,2024.7456369597944,2023.9302079597944,True,2024.8599305297944,2018.8572305297944,True
STATE_154000000,2024.6315258997947,2023.9446958997946,True,2024.5387506997947,2023.9193996997947,True,2025.0452831997945,2018.9839931997947,True
STATE_155000000,2024.6401714797946,2023.8444084797948,True,2024.6520004797947,2023.7367634797947,True,2024.5543178097946,2018.6648378097946,True
STATE_156000000,2024.3798248490075,2023.6613958490075,True,2024.6770761490075,2023.6352761490075,True,2024.9666557490075,2018.6685757490075,True
STATE_157000000,2024.6064752997947,2023.8641452997947,True,2024.7639693997946,2023.8126843997948,True,2024.9455164397946,2018.6511464397947,True
STATE_158000000,2024.7019159497945,2023.7917319497947,True,2024.5308819497945,2023.6906299497946,True,2024.8931408197946,2018.6064008197945,True
STATE_159000000,2024.4835519997946,2023.8597749997946,True,2024.7215399997947,2023.7070599997946,True,2025.0959885797945,2018.6865585797946,True
STATE_160000000,2024.6510037997946,2023.8229237997946,True,2024.6648085997945,2024.1586925997947,True,2025.0985456927947,2018.7202656927946,True
STATE_161000000,2024.6763710997946,2024.0072980997945,True,2024.7742230997944,2023.8585570997946,True,2024.9509032997944,2018.8281232997945,True
