"tree","wave","velocity","diffusion","nBranches"
30,"Wave 1 (2016-2020)",173.499804466973,9718.32038282568,130
31,"Wave 1 (2016-2020)",168.604426844543,8496.68793685019,132
32,"Wave 1 (2016-2020)",159.090622225087,7914.25678679966,132
33,"Wave 1 (2016-2020)",163.307788216866,8453.63293093022,132
34,"Wave 1 (2016-2020)",157.427617033751,8422.50245166509,130
35,"Wave 1 (2016-2020)",148.175975018811,7830.61697236371,130
36,"Wave 1 (2016-2020)",155.233120977563,8880.91347693942,130
37,"Wave 1 (2016-2020)",159.971396909129,9335.01524900662,130
38,"Wave 1 (2016-2020)",147.738737979189,8552.59680017085,130
39,"Wave 1 (2016-2020)",144.827609631001,7539.27212054704,131
40,"Wave 1 (2016-2020)",153.951550240273,8494.14036427886,132
41,"Wave 1 (2016-2020)",156.471446376937,9147.84298026226,132
42,"Wave 1 (2016-2020)",178.546221227422,9859.6304961601,132
43,"Wave 1 (2016-2020)",170.851733638073,10293.1089868708,132
44,"Wave 1 (2016-2020)",151.082465220036,7887.33284344114,132
45,"Wave 1 (2016-2020)",156.08461619258,7953.41114095655,130
46,"Wave 1 (2016-2020)",171.149179214606,8911.26402375253,132
47,"Wave 1 (2016-2020)",170.265546612295,8288.07054866665,130
48,"Wave 1 (2016-2020)",153.53532010871,7348.90490470901,134
49,"Wave 1 (2016-2020)",180.14033146928,9595.18976087304,132
50,"Wave 1 (2016-2020)",171.398635899847,8998.93808693249,132
51,"Wave 1 (2016-2020)",168.039903528728,7842.47379310694,130
52,"Wave 1 (2016-2020)",149.016244955937,6542.9442351011,130
53,"Wave 1 (2016-2020)",162.535889332702,7622.24862053213,130
54,"Wave 1 (2016-2020)",155.97877544106,6882.6505702625,130
55,"Wave 1 (2016-2020)",156.380913154314,7073.30562639317,128
56,"Wave 1 (2016-2020)",165.41332930095,8361.61982618032,130
57,"Wave 1 (2016-2020)",188.448550944261,9829.05875246469,130
58,"Wave 1 (2016-2020)",173.665989792219,8335.55384221562,132
59,"Wave 1 (2016-2020)",172.846503258731,8633.15030958937,130
60,"Wave 1 (2016-2020)",135.984857327422,6639.46531738155,132
61,"Wave 1 (2016-2020)",161.852950932214,7521.18838419643,134
62,"Wave 1 (2016-2020)",153.873949287783,8800.71434357736,132
63,"Wave 1 (2016-2020)",163.187630447213,9318.22829280422,130
64,"Wave 1 (2016-2020)",169.144223138922,9895.81067261067,130
65,"Wave 1 (2016-2020)",162.000949331587,8991.73979583966,134
66,"Wave 1 (2016-2020)",162.088378813957,8969.04850455403,130
67,"Wave 1 (2016-2020)",168.913960277317,9617.38669170376,132
68,"Wave 1 (2016-2020)",167.310662228428,9319.18576837299,130
69,"Wave 1 (2016-2020)",163.197356404276,7913.35894973705,134
70,"Wave 1 (2016-2020)",163.08096306389,8982.50630881007,132
71,"Wave 1 (2016-2020)",177.191504324996,8994.60384758645,128
72,"Wave 1 (2016-2020)",178.811193710516,8904.84132834196,132
73,"Wave 1 (2016-2020)",170.733020780603,8260.59354604535,130
74,"Wave 1 (2016-2020)",144.815430275094,7019.00931616734,130
75,"Wave 1 (2016-2020)",166.925461648952,7867.32109466723,132
76,"Wave 1 (2016-2020)",158.995133547239,7269.05699378936,130
77,"Wave 1 (2016-2020)",165.527592400268,10681.4502671422,130
78,"Wave 1 (2016-2020)",169.410657498422,9453.74921711596,130
79,"Wave 1 (2016-2020)",169.353689482676,9710.90127191432,130
80,"Wave 1 (2016-2020)",149.705148659388,7464.34160006383,130
81,"Wave 1 (2016-2020)",151.236296610201,8108.134968754,132
82,"Wave 1 (2016-2020)",155.267663840729,8169.56196916242,132
83,"Wave 1 (2016-2020)",169.648195815986,9095.48544369627,130
84,"Wave 1 (2016-2020)",158.3398482279,8287.22824419241,132
85,"Wave 1 (2016-2020)",151.512141406135,7496.43942070243,128
86,"Wave 1 (2016-2020)",171.518454380515,8975.91723914633,132
87,"Wave 1 (2016-2020)",163.867858924196,8667.7407712268,130
88,"Wave 1 (2016-2020)",145.187849210778,7565.166843623,132
89,"Wave 1 (2016-2020)",177.908039870091,9880.63884103699,130
90,"Wave 1 (2016-2020)",190.403698840925,10748.8159498698,130
91,"Wave 1 (2016-2020)",170.323734345844,8936.6198414923,132
92,"Wave 1 (2016-2020)",185.703544877903,10404.7147858004,130
93,"Wave 1 (2016-2020)",172.17329086845,8958.3455307444,132
94,"Wave 1 (2016-2020)",166.131126346979,8444.07759650816,130
95,"Wave 1 (2016-2020)",180.527928269693,9908.21283286644,130
96,"Wave 1 (2016-2020)",166.26420248314,8639.5587064715,130
97,"Wave 1 (2016-2020)",165.575813468135,8758.11648577014,132
98,"Wave 1 (2016-2020)",166.456926911861,8206.91399410638,134
99,"Wave 1 (2016-2020)",177.665913884324,9819.96653282521,132
100,"Wave 1 (2016-2020)",179.060272556316,8969.46601684065,132
1,"Wave 2 (2021-2023)",261.234680983377,17580.9448071812,254
2,"Wave 2 (2021-2023)",277.31044968718,19533.8939882701,247
3,"Wave 2 (2021-2023)",280.20805050147,18018.233017524,241
