mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches
655.554383050471	269.83079145426	2.41778818119141	22679.6678985678	18000.0586581013	2.58513219040009
513.612946449058	259.005567215882	1.64162316447247	20347.9783455076	17161.8779785842	2.45758871002185
589.685368368367	261.030649275635	2.11034343821658	23429.6572450215	17484.8478071155	3.23070716042857
596.29887127931	270.341418082905	2.01006840223459	23382.6086875943	18366.1722948134	3.01178640976608
588.824608820874	258.800860458366	2.9637698317942	20745.2328480286	17314.3927181501	2.63550309759603
519.081189256865	264.515469781901	1.69637577996795	20388.5744361886	18442.2308566856	2.54872883018737
597.216132540918	256.140066277262	2.92009414402214	20717.7461029443	17864.2662400385	2.96584894105442
533.628204534201	258.138003707653	1.80675339305553	19880.8945157134	16913.1982702828	2.47316325029146
565.033659873735	259.349186023859	1.90233550613006	21382.4935058945	17474.6496133872	2.72614432769199
568.166910666781	258.613464740114	2.1611433047221	21896.9898619567	17565.9561863705	2.7160870863762
637.464122377389	265.14343766955	2.73148410992958	22097.9421396364	17100.4972955123	2.4966033766879
748.261308917668	265.373552229073	3.9921558411526	21479.4833442196	16911.6532335533	2.6105228380902
600.185018113731	266.802244299165	1.92951780506212	21736.0349029843	17306.9734812029	2.57288097707987
508.069344993556	257.279227619325	1.77217199035837	20741.6542639448	16704.6984133651	2.72151700774542
603.1261610597	280.124374853269	1.83751280492611	24732.5454280074	18516.2851948653	2.9405813367644
906.417300765813	275.655416723042	6.03761985276408	23961.9608228307	17380.4241143435	2.59881008607784
585.77114754808	265.56394755519	1.78105459655011	21639.0960168542	17541.6860904613	2.80872032819184
557.118692771404	273.478339085114	1.61809722353579	23048.6189937305	18689.4951704328	3.18034400466557
691.404668343025	284.986224772957	2.25147233197674	27701.9354668211	20233.3821772321	3.26083932403538
539.071305275996	262.76984442384	1.58981080901351	22044.7195615794	17458.6814647803	2.99595582661863
727.613211357886	262.990742618253	4.0562599613007	22948.2645107716	17483.577942051	2.79278551742306
575.666308859278	268.389875798387	1.83036466678254	24275.4810635107	18002.8611217568	3.13692823719855
655.31809963792	288.28666131088	1.8162893104368	28872.4869635929	20730.735373785	2.84851221824887
626.070815510973	260.909188321524	2.34615989116088	22035.2116874972	17682.17163379	2.6189184902701
565.049007218729	259.83664622975	2.65069340629026	21400.1750342216	17540.4820314698	2.67087971079937
671.615188799669	271.679495187855	2.35489855652581	23922.5939526862	18282.8522261624	2.90263150637441
494.363109075887	260.086256454819	1.5435340932901	21746.6530335123	17257.8702551885	3.4127887028533
510.831765843848	239.09211152777	2.32732359009213	19759.9951149851	16254.9217142868	3.30512322237068
542.03491662376	261.18127586305	2.23456176466446	21424.1045801481	17997.2100241812	3.04783565740813
604.470511381055	273.327155819419	2.09939729533585	22955.7532875041	18596.1983966978	2.87054961772106
534.188092539443	260.623538107336	1.77561862694571	20886.8961398214	17779.1014995928	2.71448073684727
585.242696042715	274.539884291919	1.95911959825424	23518.5956792143	19163.6507265404	3.2638091613358
523.218049097914	261.483903577476	1.52379809376434	20723.1304036598	16776.0463011148	2.80379707010916
595.652406670396	260.249980868865	2.21569848096879	21687.8518927494	16957.0626432135	2.85165889405456
654.328357768305	271.544114877374	2.42862133647408	22002.7823651748	18260.8488593144	2.84689340132936
520.522666724635	260.618609819854	1.7275698090798	20239.657618048	17490.6256899941	2.78232378589672
549.028908267688	258.246962828339	1.89064211095466	21936.245854018	17032.2507883941	3.21840182673973
671.550430049683	260.338464096411	4.12758496405139	22491.4267860493	16824.1432000376	3.09276355041253
612.649374344002	268.485532359132	2.75858772988654	24020.1894138239	18482.1487251967	2.92164197034374
533.113932501816	255.236413631673	2.0662075429677	20048.6727400441	16105.4837988732	3.02554937433244
